Alignment,Outlier_Seq_No,Z_score,PT_ID
3J1J7,16,9402.XP_006905027.1,6.650669121898735
3J1J8,53,109478.XP_005861873.1,6.950604199964901
3J1J9,22,10029.XP_007625626.1,8.326597982287778
3J1JB,42,61622.XP_010387068.1,8.390632249627412
3J1JC,33,9940.ENSOARP00000009982,6.919828445872847
3J1JD,41,885580.XP_010613154.1,6.835415851567362
3J1JE,12,10029.XP_007631206.1,7.0851638507660155
3J1JF,69,9601.ENSPPYP00000019183,7.513833336735872
3J1JH,19,9365.XP_007526669.1,8.307471607356973
3J1JJ,33,9733.XP_004278543.1,5.642208138442235
3J1JK,36,225400.XP_006759267.1,4.677113986629952
3J1JM,47,9668.ENSMPUP00000014295,8.541202056175235
3J1JN,76,10181.XP_004895314.1,9.621946095206079
3J1JP,38,132908.ENSPVAP00000009383,7.089574427929872
3J1JQ,18,9361.ENSDNOP00000032360,5.135322656934173
3J1JS,37,9940.ENSOARP00000003602,7.842586528609199
3J1JT,8,13616.ENSMODP00000004680,4.875966700514366
3J1JU,54,51337.XP_004654634.1,5.1563220325030255
3J1JV,37,9767.XP_007187700.1,6.9805648562073905
3J1JW,50,72004.XP_005891157.1,5.058922961542409
3J1JX,49,59538.XP_005972648.1,5.246729228580707
3J1JY,33,885580.XP_010608115.1,5.987177017999516
3J1JZ,14,59538.XP_005962743.1,6.2887133464410425
3J1K0,69,9612.ENSCAFP00000001312,8.41264499779583
3J1K1,33,9361.ENSDNOP00000030737,5.0270187697964515
3J1K2,28,10042.XP_006974726.1,7.737539475633321
3J1K3,41,29073.XP_008685130.1,3.6074862827029377
3J1K4,57,34839.XP_005389792.1,7.7854440584717555
3J1K5,3,29078.XP_008141474.1,6.070841185088453
3J1K6,46,9767.XP_007173934.1,5.988637997219381
3J1K7,17,9365.XP_007519745.1,6.174009500195212
3J1K8,35,246437.XP_006170291.1,5.891667374211729
3J1K9,64,9541.XP_005545714.1,4.051916908682265
3J1KA,25,482537.XP_008570701.1,8.189301442715253
3J1KB,9,10160.XP_004637537.1,4.7732378626623415
3J1KC,24,9365.XP_007536278.1,5.683875551931437
3J1KD,1,9739.XP_004328538.1,7.962736232110409
3J1KE,3,29073.XP_008689912.1,7.622583595857497
3J1KF,15,9258.ENSOANP00000012909,5.806313160720673
3J1KG,29,10036.XP_005067068.1,3.570714214271425
3J1KI,34,9986.ENSOCUP00000014114,8.17969301815709
3J1KJ,16,9402.XP_006919583.1,3.791115865996425
3J1KK,22,482537.XP_008586138.1,7.696238231068542
3J1KM,66,42254.XP_004601486.1,5.140278179466702
3J1KN,41,89462.XP_006072441.1,6.914716911052088
3J1KP,17,9371.XP_004708230.1,7.887146611639603
3J1KQ,4,13616.ENSMODP00000012913,5.856196630988017
3J1KR,62,51337.XP_004659696.1,7.3123520308402465
3J1KS,11,10116.ENSRNOP00000028020,8.331902420134364
3J1KT,5,9606.ENSP00000381008,4.779048100620121
3J1KV,26,9940.ENSOARP00000016668,6.351884617813614
3J1KX,57,59538.XP_005972461.1,6.429526786368927
3J1KY,13,9258.ENSOANP00000006632,5.535322334694016
3J1KZ,58,9739.XP_004327876.1,6.310385223288462
3J1M0,12,9986.ENSOCUP00000009429,8.364807565462677
3J1M1,42,9778.XP_004385096.1,4.333786788418492
3J1M2,62,9612.ENSCAFP00000005811,5.432075287599113
3J1M3,33,885580.XP_010611352.1,6.4233555283991794
3J1M5,15,9258.ENSOANP00000027204,5.32870769709483
3J1M6,33,885580.XP_010622863.1,7.3474574473535315
3J1M8,26,885580.XP_010604189.1,4.984434023900802
3J1MA,11,9978.XP_004582764.1,7.545660213314059
3J1MB,45,9739.XP_004312240.1,8.915541413518362
3J1MC,5,118797.XP_007462704.1,5.327670282376447
3J1MD,35,9940.ENSOARP00000016117,8.540236911268511
3J1ME,63,9646.ENSAMEP00000011682,4.8267854987294925
3J1MF,44,9646.ENSAMEP00000005154,3.290665773523577
3J1MG,32,9778.XP_004376247.1,4.349351376223343
3J1MH,42,9371.XP_004714177.1,5.525079990295057
3J1MI,31,10029.XP_007626109.1,6.60744325339369
3J1MJ,2,885580.XP_010635926.1,6.310390966583387
3J1MK,1,9713.XP_006750933.1,7.232593624794175
3J1MM,82,9365.XP_007531177.1,4.273864702012616
3J1MN,42,61622.XP_010353149.1,5.975901450853
3J1MP,3,29078.XP_008157088.1,8.089536567544055
3J1MQ,47,9668.ENSMPUP00000004841,8.19103833631616
3J1MR,3,34839.XP_005403325.1,6.802335109508024
3J1MT,98,9541.XP_005566117.1,3.051000064791314
3J1MV,9,13616.ENSMODP00000015672,7.752433488906938
3J1MW,52,9739.XP_004323576.1,3.488401609957293
3J1MX,38,34839.XP_005377232.1,10.648329904976794
3J1MZ,7,27679.XP_010344799.1,6.596062331316293
3J1N0,147,59538.XP_005962583.1,8.472116486967224
3J1N1,17,9365.XP_007525972.1,6.234400205677251
3J1N3,37,225400.XP_006769209.1,8.133189763382834
3J1N4,55,34839.XP_005375728.1,5.6968481906588915
3J1N5,47,9767.XP_007170678.1,8.137162535239971
3J1N6,37,9739.XP_004327468.1,5.385792748527108
3J1N7,47,246437.XP_006171239.1,5.147764715391236
3J1N8,48,9597.XP_008949522.1,4.09219956753923
3J1N9,65,9597.XP_008957487.1,8.360946176776235
3J1NA,60,29073.XP_008706467.1,6.34349888705955
3J1NB,6,10181.XP_004872135.1,7.922345909600784
3J1ND,46,482537.XP_008575572.1,5.413970041387016
3J1NE,2,34839.XP_005373192.1,4.784078646289498
3J1NF,14,9305.ENSSHAP00000013974,7.087501998602454
3J1NG,7,29073.XP_008686992.1,8.182089334824308
3J1NH,13,9361.ENSDNOP00000033310,4.818646256609023
3J1NI,31,9365.XP_007527221.1,7.481906803876144
3J1NJ,5,29073.XP_008693776.1,7.957842066366559
3J1NK,32,9778.XP_004369887.1,5.942354943678692
3J1NM,40,72004.XP_005897965.1,4.087977498503372
3J1NN,54,34839.XP_005403309.1,7.918368111627598
3J1NP,2,246437.XP_006167456.1,3.513256855416133
3J1NQ,26,885580.XP_010623909.1,7.657076167293715
3J1NS,62,60711.ENSCSAP00000014841,7.448449967266332
3J1NT,26,246437.XP_006169974.1,5.097612505266556
3J1NU,55,34839.XP_005410418.1,6.889651702702852
3J1NV,30,9778.XP_004375223.1,5.1616631873301815
3J1NW,35,482537.XP_008592659.1,6.350518733532527
3J1NX,55,34839.XP_005381752.1,7.906672291397846
3J1NY,13,29073.XP_008686415.1,6.786192640992497
3J1NZ,45,9612.ENSCAFP00000006379,5.506341820735497
3J1P0,37,9986.ENSOCUP00000017678,8.565209881212494
3J1P1,66,9593.ENSGGOP00000016646,7.596513138658763
3J1P2,28,246437.XP_006158208.1,6.079398683934947
3J1P3,7,13616.ENSMODP00000021339,7.437448707376326
3J1P4,64,9612.ENSCAFP00000008783,5.944897430120273
3J1P5,21,9478.XP_008047042.1,8.543137986596752
3J1P6,57,51337.XP_004667674.1,6.74441267831447
3J1P8,40,118797.XP_007466186.1,8.147271503250321
3J1P9,62,51337.XP_004656022.1,6.127766067455134
3J1PA,21,9361.ENSDNOP00000000939,5.595998527848659
3J1PB,19,9361.ENSDNOP00000020770,8.281284880592676
3J1PD,79,9361.ENSDNOP00000033853,3.6825668175586106
3J1PF,32,9778.XP_004369899.1,8.45022984094639
3J1PG,27,225400.XP_006763660.1,7.24655421958563
3J1PH,26,246437.XP_006163342.1,5.058392265607949
3J1PI,29,9402.XP_006909470.1,7.747925229089624
3J1PJ,22,9978.XP_004580859.1,8.259490792345282
3J1PK,33,9978.XP_004590968.1,8.0426879698001
3J1PM,48,59538.XP_005980086.1,8.449502907573677
3J1PN,21,9305.ENSSHAP00000021163,5.1343696313813405
3J1PP,70,9541.XP_005541488.1,6.9935652069343055
3J1PQ,59,59463.ENSMLUP00000010994,3.933205051248367
3J1PR,31,10029.XP_007616132.1,4.718874230853975
3J1PT,32,225400.XP_006754600.1,7.432615377255663
3J1PU,69,9541.XP_005545332.1,4.803855469519802
3J1PV,8,13616.ENSMODP00000002271,6.758155937768328
3J1PW,50,9713.XP_006744991.1,5.614877826125306
3J1PX,49,9767.XP_007177282.1,5.649465530828985
3J1PY,28,9823.ENSSSCP00000023063,3.2749881883778404
3J1PZ,40,9739.XP_004311289.1,8.520937354666357
3J1Q0,42,482537.XP_008587391.1,4.532641897588016
3J1Q1,12,10036.XP_005085845.1,3.6694838753742522
3J1Q2,14,34839.XP_005406209.1,6.781279753868882
3J1Q3,9,10116.ENSRNOP00000067711,3.413703309262305
3J1Q4,1,1026970.XP_008848614.1,7.8471169224557356
3J1Q5,27,10160.XP_004628491.1,4.415880433163924
3J1Q6,27,10036.XP_005064280.1,4.275148530244004
3J1Q7,37,185453.XP_006876871.1,5.796484847797388
3J1Q8,48,61622.XP_010376681.1,5.964737179271717
3J1Q9,18,9478.XP_008050719.1,4.60644636948091
3J1QA,15,9258.ENSOANP00000032994,7.654957960068079
3J1QB,48,225400.XP_006771786.1,5.9754447313736225
3J1QC,54,51337.XP_004663521.1,6.404781095370854
3J1QD,6,109478.XP_005857310.1,4.820016404488151
3J1QE,28,185453.XP_006871559.1,8.439202845878023
3J1QF,31,9739.XP_004315162.1,5.6225245717723
3J1QG,45,885580.XP_010613526.1,7.665638439415379
3J1QH,35,246437.XP_006153435.1,5.315044482207169
3J1QI,20,9541.XP_005566811.1,6.056442087997857
3J1QJ,29,10029.XP_007620743.1,3.6354829179675865
3J1QM,17,9371.XP_004716076.1,4.5703996584957505
3J1QN,9,118797.XP_007471988.1,5.114844542895566
3J1QP,67,9612.ENSCAFP00000025820,4.918417550249168
3J1QQ,54,9739.XP_004323860.1,6.899552510879494
3J1QR,25,1026970.XP_008846911.1,4.571717272587723
3J1QS,279,9371.XP_004715098.1,16.33768267278175
3J1QT,16,9402.XP_006907101.1,7.678668277470957
3J1QU,5,28737.XP_006882452.1,4.836000331019289
3J1QV,29,10036.XP_005066343.1,8.244950150228112
3J1QW,24,9258.ENSOANP00000018190,5.168338121485117
3J1QX,78,27679.XP_010328867.1,6.915565689721718
3J1QY,17,9365.XP_007532460.1,8.471333072937274
3J1R0,4,13616.ENSMODP00000005055,5.62572893725501
3J1R1,22,9778.XP_004368993.1,3.0039877551989913
3J1R2,2,482537.XP_008566800.1,7.333920070659533
3J1R3,18,9365.XP_007535216.1,5.7553095832960235
3J1R4,44,9694.XP_007096356.1,8.205451528022524
3J1R5,23,10029.XP_007612202.1,7.2283101182524465
3J1R6,39,89462.XP_006047416.1,3.7358387183743913
St. Dev == 0, crisp alignment at N-ter
3J1R8,69,9612.ENSCAFP00000028600,5.858662238607579
3J1RA,60,42254.XP_004606987.1,8.139051264301562
3J1RB,61,51337.XP_004662168.1,7.531542211127131
3J1RD,75,109478.XP_005878498.1,9.988860585130446
3J1RE,32,185453.XP_006876919.1,7.7336486392018635
3J1RF,15,9258.ENSOANP00000024118,8.320433594977414
3J1RG,54,109478.XP_005864612.1,6.224401322813942
3J1RH,35,246437.XP_006152565.1,8.19753533530446
St. Dev == 0, crisp alignment at N-ter
3J1RJ,33,61622.XP_010363376.1,7.015989492577744
3J1RK,33,9986.ENSOCUP00000026420,7.235765399662217
3J1RM,46,9612.ENSCAFP00000020823,3.1491071218267748
3J1RP,8,9305.ENSSHAP00000002075,5.864021839723326
3J1RQ,55,42254.XP_004610374.1,6.835444058836003
3J1RR,20,9365.XP_007536734.1,4.8832369726754195
3J1RS,48,10042.XP_006992293.1,5.206734898526439
3J1RT,80,10160.XP_004638718.1,5.51781330151742
3J1RU,8,10036.XP_005067978.1,6.379674950155091
3J1RV,28,9940.ENSOARP00000012684,4.949149332495073
3J1RW,56,89462.XP_006057183.1,4.803456820585796
3J1RY,17,9361.ENSDNOP00000024429,6.534981314755031
3J1RZ,42,9694.XP_007095885.1,8.11296414011682
3J1S0,84,10036.XP_005068299.1,6.171441445269936
3J1S1,10,10181.XP_004884476.1,4.334594852415924
3J1S2,17,9402.XP_006910888.1,3.010911430801998
3J1S3,67,9597.XP_008962702.1,5.082904507671997
3J1S4,61,9612.ENSCAFP00000014991,5.6327308931747835
3J1S5,20,225400.XP_006761632.1,6.374974840966433
3J1S6,37,89462.XP_006075799.1,7.129064739837982
3J1S7,35,1026970.XP_008850808.1,7.091483633374139
3J1S8,29,10116.ENSRNOP00000011727,4.620744655591296
3J1S9,34,9778.XP_004374428.1,5.735198174492346
3J1SA,2,9785.ENSLAFP00000019006,4.595395332065827
3J1SB,14,9258.ENSOANP00000023188,7.677081450810492
3J1SC,3,28737.XP_006880199.1,5.705285775385193
3J1SD,51,9713.XP_006737878.1,4.974370773207323
3J1SE,41,109478.XP_005886120.1,3.442503789959531
3J1SF,70,9555.ENSPANP00000018285,8.238697558256112
3J1SH,22,9371.XP_004709767.1,5.740825924940877
3J1SI,116,51337.XP_004670401.1,7.361809111610805
3J1SJ,70,9541.XP_005553146.1,6.326912259414233
3J1SP,24,885580.XP_010609511.1,5.56329798640961
3J1SQ,2,9713.XP_006729128.1,7.442707778902818
3J1SR,39,79684.XP_005346093.1,8.0551589543166
3J1ST,6,28737.XP_006886851.1,5.231496422651515
3J1SU,2,885580.XP_010629543.1,8.04931759764312
3J1SV,69,9544.ENSMMUP00000008687,5.176090197016608
3J1SW,7,29073.XP_008686305.1,8.183944288593148
3J1SX,26,885580.XP_010638183.1,7.937811584053578
3J1SY,26,246437.XP_006156543.1,5.65425378827114
3J1SZ,93,10042.XP_006971773.1,10.107173126895091
3J1T0,45,9778.XP_004371747.1,5.12602862192327
3J1T1,64,10116.ENSRNOP00000059889,5.838716039880515
3J1T2,62,34839.XP_005389150.1,6.846352993651988
3J1T3,48,59538.XP_005972100.1,6.782943614797209
3J1T4,56,9986.ENSOCUP00000009060,8.415206199286464
3J1T5,69,9555.ENSPANP00000000783,4.852931494844245
3J1T8,45,9707.XP_004405581.1,6.272534031063577
3J1TB,33,885580.XP_010642594.1,7.305912200443715
3J1TC,1,51337.XP_004652088.1,5.118288275442654
3J1TD,37,89462.XP_006080535.1,3.6860224815515954
3J1TE,10,9986.ENSOCUP00000007010,7.014287927552036
3J1TF,58,59538.XP_005971323.1,7.476188363202682
3J1TH,16,9402.XP_006916527.1,7.358485487678681
3J1TJ,33,9986.ENSOCUP00000014606,8.405202000654809
3J1TM,71,9541.XP_005544573.1,4.300907727151129
3J1TN,58,59538.XP_005963292.1,5.048069953563678
3J1TP,37,225400.XP_006769875.1,4.451271316544933
3J1TR,20,9541.XP_005592633.1,5.06780037541965
3J1TS,11,34839.XP_005407837.1,5.8894124952559
3J1TT,17,9361.ENSDNOP00000002976,7.150738082191558
3J1TU,53,9668.ENSMPUP00000018258,4.938424486076289
3J1TV,19,9361.ENSDNOP00000030130,5.818419187374452
3J1TW,20,9483.ENSCJAP00000002131,3.4531091980475437
3J1TX,17,9365.XP_007529685.1,7.012502177239704
3J1TY,17,9365.XP_007521393.1,6.67159191063397
3J1TZ,47,9707.XP_004400819.1,4.9720201622527656
3J1U0,29,10036.XP_005068152.1,7.413129959457589
3J1U1,50,59538.XP_005979060.1,5.790479389743663
3J1U2,9,13616.ENSMODP00000009885,7.987684588322816
3J1U3,66,9685.ENSFCAP00000023442,4.493775365333211
3J1U4,121,9818.XP_007944754.1,11.548484622692975
3J1U5,11,10029.XP_007609610.1,6.166982562747011
3J1U6,50,72004.XP_005890587.1,7.694082477012797
3J1U7,13,9258.ENSOANP00000002987,4.051881222939271
3J1U8,81,72004.XP_005910110.1,3.344682026532157
3J1UA,31,9978.XP_004593090.1,6.223504696997384
3J1UB,26,482537.XP_008578906.1,4.983881288425426
3J1UC,47,9694.XP_007084955.1,8.420088189784348
3J1UD,110,10029.XP_007625634.1,9.124130274278702
3J1UE,34,482537.XP_008578923.1,4.210337824298974
3J1UF,68,9541.XP_005560167.1,6.338512900071543
3J1UG,22,10029.XP_007623193.1,8.109061109671442
3J1UH,28,10036.XP_005064395.1,6.813657596957947
3J1UI,81,10181.XP_004849695.1,7.834318911487482
3J1UK,6,27679.XP_010336968.1,5.379005838152653
3J1UM,22,9767.XP_007164313.1,6.427784761339691
3J1UN,81,10036.XP_005065816.1,6.640460335299534
3J1UP,33,9778.XP_004378847.1,8.114938976431965
3J1UQ,31,10029.XP_007609845.1,6.114354693944853
3J1UR,15,9258.ENSOANP00000005109,8.186574281272826
3J1US,44,27679.XP_010340895.1,7.228416838397651
3J1UT,41,89462.XP_006071154.1,6.116949918228798
3J1UU,21,9541.XP_005560701.1,7.148825710979909
3J1UV,19,9478.XP_008049709.1,5.501210159252608
3J1UW,7,28737.XP_006897451.1,6.149635527296767
3J1UX,31,89462.XP_006046313.1,6.393716339918856
3J1UY,30,9402.XP_006913886.1,7.344493902482367
3J1UZ,13,9305.ENSSHAP00000016514,5.826360361696149
3J1V0,17,9365.XP_007520320.1,5.274954595816045
3J1V1,2,34839.XP_005409751.1,7.5668871398024615
3J1V2,42,51337.XP_004669604.1,6.555447029010068
3J1V3,5,29073.XP_008689897.1,5.437990332927596
3J1V4,16,9402.XP_006917722.1,7.50198106266506
3J1V5,74,9541.XP_005578568.1,3.7450418441423357
3J1V6,47,9707.XP_004393570.1,5.3140118159570475
3J1V7,47,246437.XP_006162339.1,3.715492482813457
3J1V8,51,10181.XP_004871193.1,6.11798258663702
3J1V9,61,9612.ENSCAFP00000024747,6.007859271215503
3J1VA,44,1026970.XP_008839038.1,4.632693410803021
3J1VB,30,42254.XP_004612989.1,6.027570550292033
3J1VC,54,34839.XP_005395260.1,5.287312846627988
3J1VD,1,9733.XP_004272700.1,8.300826473117997
3J1VG,43,9694.XP_007094333.1,5.872298705177908
3J1VH,47,9739.XP_004332291.1,4.8530918489579875
3J1VI,31,9913.ENSBTAP00000042261,4.06201920231798
3J1VJ,63,34839.XP_005382372.1,8.586648173572161
3J1VK,56,59538.XP_005960513.1,7.08575078215313
3J1VM,38,132908.ENSPVAP00000001019,3.5151527848695863
3J1VN,21,1026970.XP_008845502.1,5.185649230085561
3J1VP,13,9361.ENSDNOP00000016572,3.9917387733454626
3J1VQ,45,885580.XP_010636406.1,7.0711105606191955
3J1VR,14,9739.XP_004325316.1,9.043977763433363
3J1VS,23,9986.ENSOCUP00000014176,6.430497093783936
3J1VT,21,9478.XP_008046233.1,7.424818795433529
3J1VU,57,9478.XP_008071350.1,6.4969362337926695
3J1VV,65,9598.ENSPTRP00000028950,8.17979685722013
3J1VW,7,482537.XP_008588896.1,5.787478477557644
3J1VX,2,482537.XP_008565263.1,6.839890308306577
3J1VY,10,9940.ENSOARP00000006078,7.5091684248305866
3J1VZ,57,9541.XP_005547076.1,5.3404274884265535
3J1W0,8,13616.ENSMODP00000014818,5.200978518503989
3J1W1,42,9707.XP_004413499.1,5.13201037640167
3J1W2,21,29073.XP_008707964.1,3.4658265737272536
3J1W3,11,9986.ENSOCUP00000000665,8.52876573914459
3J1W4,31,9986.ENSOCUP00000007571,6.496234090459192
3J1W5,66,42254.XP_004617560.1,3.314834124007084
3J1W6,54,51337.XP_004668291.1,8.175424157292479
3J1W7,16,9478.XP_008053950.1,7.577735066050152
3J1W8,13,9258.ENSOANP00000024669,5.360816810077893
3J1W9,33,9940.ENSOARP00000013783,8.485368516241142
3J1WA,30,9785.ENSLAFP00000027182,5.344252661836391
3J1WB,41,89462.XP_006068552.1,4.9159908626078375
3J1WC,11,9541.XP_005585426.1,7.548276263598951
3J1WD,42,109478.XP_005868325.1,4.974386998891814
3J1WE,49,9733.XP_004262815.1,7.465112264889318
3J1WF,42,9694.XP_007087777.1,7.235977530656021
3J1WH,4,29073.XP_008707499.1,5.556285565077389
3J1WI,35,72004.XP_005903431.1,7.212047225301266
3J1WJ,47,246437.XP_006169979.1,7.676981802846211
3J1WK,42,89462.XP_006055780.1,6.409652442129276
3J1WM,73,246437.XP_006159138.1,9.741018629627737
3J1WP,39,109478.XP_005882891.1,5.842421183760813
3J1WQ,149,34839.XP_005380164.1,5.852568035938616
3J1WR,40,34839.XP_005397826.1,6.7304167677479905
3J1WT,7,10036.XP_005083033.1,3.29976937626219
3J1WU,20,9541.XP_005584518.1,5.668351003079059
3J1WV,60,9707.XP_004410547.1,5.959320607836459
3J1WY,12,10090.ENSMUSP00000087474,5.197808534778246
3J1WZ,16,9365.XP_007523075.1,7.329930156277119
3J1X0,64,9593.ENSGGOP00000027200,3.9614147349273954
3J1X1,12,10029.XP_007650272.1,5.934422980528904
3J1X2,63,9555.ENSPANP00000006193,4.567643388972115
3J1X3,34,9818.XP_007954483.1,7.244033402567002
3J1X4,71,29073.XP_008688101.1,5.855731810301409
3J1X5,37,185453.XP_006865324.1,3.5348182021528527
3J1X6,38,61622.XP_010375862.1,3.824529123748533
3J1X7,9,885580.XP_010622262.1,3.523324751188468
3J1X9,39,72004.XP_005896751.1,4.134194232126019
3J1XA,13,9986.ENSOCUP00000004049,5.977733062545067
3J1XB,53,59538.XP_005968624.1,5.038169444006957
3J1XD,13,9305.ENSSHAP00000010382,8.579024590386709
3J1XE,6,13616.ENSMODP00000006456,8.360566251276484
3J1XF,56,89462.XP_006067989.1,6.1126448382467755
3J1XG,53,42254.XP_004619749.1,8.237761809714453
3J1XH,58,51337.XP_004664528.1,6.528242131730121
3J1XI,11,10160.XP_004623240.1,6.657356543756751
3J1XK,7,13616.ENSMODP00000022916,3.1208798372662727
3J1XM,35,246437.XP_006144933.1,3.2806214865450305
3J1XN,26,10029.XP_007617783.1,8.378369686256548
3J1XP,48,225400.XP_006759114.1,7.411957277615277
3J1XQ,70,9402.XP_006917865.1,8.30749581606934
3J1XR,56,59538.XP_005963244.1,4.088754840079828
3J1XS,5,13616.ENSMODP00000022414,5.961883086006675
3J1XT,58,59538.XP_005972879.1,7.60136655906968
3J1XU,4,29073.XP_008692847.1,8.388563320249043
3J1XV,67,28737.XP_006885406.1,8.942401458808227
3J1XW,57,9733.XP_004273958.1,4.552717206815551
3J1XX,38,89462.XP_006042298.1,5.767762687578854
3J1XY,6,29073.XP_008682227.1,6.780311532857238
